list,type,label,Add_Deduct,single,double
JAMB_MATERIAL,Primed,4  9/16,ADD,0,0
JAMB_MATERIAL,Primed,4 9/16 Custom,ADD,0,0
JAMB_MATERIAL,Primed,5 1/4,ADD,0,0
JAMB_MATERIAL,Primed,5 1/4 Custom,ADD,0,0
JAMB_MATERIAL,Primed,6  9/16,ADD,15,30
JAMB_MATERIAL,Primed,6 9/16 Custom,ADD,15,30
JAMB_MATERIAL,Primed,7 1/4,ADD,30,50
JAMB_MATERIAL,Primed,7 1/4 Custom,ADD,30,50
JAMB_MATERIAL,Primed,9 1/2,ADD,45,100
JAMB_MATERIAL,Primed,9 1/2 Custom,ADD,45,100
JAMB_MATERIAL,Primed,9 1/2 +,ADD,45,100
JAMB_MATERIAL,Oak,4  9/16,ADD,136,192
JAMB_MATERIAL,Oak,4 9/16 Custom,ADD,136,192
JAMB_MATERIAL,Oak,6  9/16,ADD,163,226
JAMB_MATERIAL,Oak,6 9/16 Custom,ADD,163,226
JAMB_MATERIAL,Oak,"4 9/16 X 8'0""",ADD,222,260
JAMB_MATERIAL,Oak,"4 9/16 X 8'0"" Custom",ADD,222,260
JAMB_MATERIAL,Oak,"6 9/16 X 8'0""",ADD,222,260
JAMB_MATERIAL,Oak,"6 9/16 X 8'0"" Custom",ADD,222,260
JAMB_MATERIAL,Knotty Alder,4  9/16,ADD,100,150
JAMB_MATERIAL,Knotty Alder,4 9/16 Custom,ADD,100,150
JAMB_MATERIAL,Knotty Alder,6  9/16,ADD,130,180
JAMB_MATERIAL,Knotty Alder,6 9/16 Custom,ADD,130,180
JAMB_MATERIAL,Solid Pine,4  9/16,ADD,70,80
JAMB_MATERIAL,Solid Pine,4 9/16 Custom,ADD,70,80
JAMB_MATERIAL,Solid Pine,6  9/16,ADD,82,96
JAMB_MATERIAL,Solid Pine,6 9/16 Custom,ADD,82,96
JAMB_MATERIAL,Composite,4  9/16,ADD,83,91
JAMB_MATERIAL,Composite,4 9/16 Custom,ADD,83,91
JAMB_MATERIAL,Composite,6  9/16,ADD,93,106
JAMB_MATERIAL,Composite,6 9/16 Custom,ADD,93,106
HINGE,COLOR,Brass,ADD,0,0
HINGE,COLOR,Brush Nickel,ADD,5,5
HINGE,COLOR,Chrome,ADD,5,5
HINGE,COLOR,Oil Rub Bronze,ADD,5,5
HINGE,COLOR,Black,ADD,5,5
HINGE,COLOR,White,ADD,5,5
SILL,SILL,Mill,ADD,0,0
SILL,SILL,Bronze,ADD,7,15
SILL,SILL,Brass,ADD,43,65
SILL,SILL,Oak,ADD,0,93
OTHER_OPTIONS,CHECKED,No Brickmould,DEDUCT,7,12
OTHER_OPTIONS,NOT_CHECKED,Dead Bolt,ADD,5,5
OTHER_OPTIONS,NOT_CHECKED,Dentil Shelf,ADD,60,120
OTHER_OPTIONS,NOT_CHECKED,Outswing Sill,ADD,10,20
OTHER_OPTIONS,NOT_CHECKED,ADA Sill,ADD,10,20
OTHER_OPTIONS,NOT_CHECKED,Spring Hinge,ADD,12,24
OTHER_OPTIONS,NOT_CHECKED,Rip Jambs To Width,ADD,5,10
DOOR_SWING_SINGLE,SINGLE,LHSI,ADD,0,0
DOOR_SWING_SINGLE,SINGLE,LHSO,ADD,0,0
DOOR_SWING_SINGLE,SINGLE,RHSI,ADD,0,0
DOOR_SWING_SINGLE,SINGLE,RHSO,ADD,0,0
DOOR_SWING_DOUBLE,SECTION_HEADING,Both Operate,ADD,0,0
DOOR_SWING_DOUBLE,BOTH_OPERATE,LHASI,ADD,0,0
DOOR_SWING_DOUBLE,BOTH_OPERATE,RHASI,ADD,0,0
DOOR_SWING_DOUBLE,BOTH_OPERATE,LHASO,ADD,0,0
DOOR_SWING_DOUBLE,BOTH_OPERATE,RHASO,ADD,0,0
DOOR_SWING_DOUBLE,SECTION_HEADING,Left Stationary,ADD,0,0
DOOR_SWING_DOUBLE,LEFT_STATIONARY,LEFT FIXED LHSI,ADD,0,0
DOOR_SWING_DOUBLE,LEFT_STATIONARY,LEFT FIXED RHSI,ADD,0,0
DOOR_SWING_DOUBLE,SECTION_HEADING,Right Stationary,ADD,0,0
DOOR_SWING_DOUBLE,RIGHT_STATIONARY,LHSI RIGHT FIXED,ADD,0,0
DOOR_SWING_DOUBLE,RIGHT_STATIONARY,RHSI RIGHT FIXED,ADD,0,0
