style,size1,size2,size3,size4,size5,size6,size7,size8,size9,size10,size11
sizes,12",14",2''6",2''8",2''10",3''0",3''6",5''0",5''4",5''8",6''0"
CCA211,0,0,0,0,0,539.52,0,0,0,0,1121.21
CCM110B,0,0,0,0,0,1290.11,0,0,0,0,2642.14
CCR200,0,0,0,0,0,417.58,0,0,0,0,898.46
CC37,0,0,0,0,0,1380.54,0,0,0,0,2803.57
CCV932,0,0,0,824.84,824.84,824.84,0,0,1692.68,1692.68,1692.68
FCM760,0,0,0,560.34,560.34,560.34,0,0,1161.47,1161.47,1161.47
FC903,0,0,535.23,535.23,0,535.23,0,535.23,535.23,0,1110.52
S770XN,0,0,243.24,243.24,0,243.24,0,516.45,516.45,0,516.45
950HD,0,0,527.13,527.13,0,527.13,0,1084.26,1084.26,0,1084.26
TS130,0,0,215.16,215.16,0,215.16,0,471.3,471.3,0,471.3
