"6'6"" HEIGHT",UNIT SIZE,,ROUGH OPENING,
,W,H,W,H
"2'0""",25 5/8,79 1/2,26 3/8,80    
"2'4""",29 5/8,79 1/2,30 3/8,80    
"2'6""",31 5/8,79 1/2,32 3/8,80    
"2'8""",33 5/8,79 1/2,34 3/8,80    
"2'10""",35 5/8,79 1/2,36 3/8,80    
"3'0""",37 5/8,79 1/2,38 3/8,80    
"3'6""",43 5/8,79 1/2,44 3/8,80    
,,,,
"6'8"" HEIGHT",UNIT SIZE,,ROUGH OPENING,
,W,H,W,H
"2'0""",25 5/8,82    ,26 3/8,82 1/2
"2'4""",29 5/8,82    ,30 3/8,82 1/2
"2'6""",31 5/8,82    ,32 3/8,82 1/2
"2'8""",33 5/8,82    ,34 3/8,82 1/2
"2'10""",35 5/8,82    ,36 3/8,82 1/2
"3'0""",37 5/8,82    ,38 3/8,82 1/2
"3'6""",43 5/8,82    ,44 3/8,82 1/2
,,,,
"8'0"" HEIGHT",UNIT SIZE,,ROUGH OPENING,
,W,H,W,H
"2'0""",25 5/8,98    ,26 3/8,98 1/2
"2'4""",29 5/8,98    ,30 3/8,98 1/2
"2'6""",31 5/8,98    ,32 3/8,98 1/2
"2'8""",33 5/8,98    ,34 3/8,98 1/2
"2'10""",35 5/8,98    ,36 3/8,98 1/2
"3'0""",37 5/8,98    ,38 3/8,98 1/2
"3'6""",43 5/8,98    ,44 3/8,98 1/2
