DOOR STYLE,MATERIAL,DESIGN,GLASS STYLE,"2'0"" X 6'8""","2'4"" X 6'8""","2'6"" X 6'8""","2'8"" X 6'8""","2'10"" X 6'8""","3'0"" X 6'8""","3'6"" X 6'8""",,"4'8"" X 6'8""","5'0"" X 6'8""","5'4"" X 6'8""","5'8"" X 6'8""","6'0"" X 6'8""",,"2'0"" X 8'0""","2'4"" X 8'0""","2'6"" X 8'0""","2'8"" X 8'0""","2'10"" X 8'0""","3'0"" X 8'0""","3'6"" X 8'0""",,"4'8"" X 8'0""","5'0"" X 8'0""","5'4"" X 8'0""","5'8"" X 8'0""","6'0"" X 8'0"""
CCA214,FIBERGLASS,DOUGLAS FIR,HAZELTON,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA224,FIBERGLASS,DOUGLAS FIR,HAZELTON,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA234,FIBERGLASS,DOUGLAS FIR,HAZELTON,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA213,FIBERGLASS,DOUGLAS FIR,SAVANNAH,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA212,FIBERGLASS,DOUGLAS FIR,VILLAGER,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA222,FIBERGLASS,DOUGLAS FIR,VILLAGER,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA232,FIBERGLASS,DOUGLAS FIR,VILLAGER,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA211,FIBERGLASS,DOUGLAS FIR,HOMEWARD,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA221,FIBERGLASS,DOUGLAS FIR,HOMEWARD,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA231,FIBERGLASS,DOUGLAS FIR,HOMEWARD,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA210XC,FIBERGLASS,DOUGLAS FIR,CHORD,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA210XJ,FIBERGLASS,DOUGLAS FIR,CHINCHILLA,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA210XR,FIBERGLASS,DOUGLAS FIR,RAINGLASS,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA210XN,FIBERGLASS,DOUGLAS FIR,GRANITE,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA210,FIBERGLASS,DOUGLAS FIR,LOW-E,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA220,FIBERGLASS,DOUGLAS FIR,LOW-E,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA230,FIBERGLASS,DOUGLAS FIR,LOW-E,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA240,FIBERGLASS,DOUGLAS FIR,LOW-E,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA260,FIBERGLASS,DOUGLAS FIR,LOW-E,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA220XJ,FIBERGLASS,DOUGLAS FIR,CHINCHILLA,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA220XC,FIBERGLASS,DOUGLAS FIR,CHORD,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA220XR,FIBERGLASS,DOUGLAS FIR,RAINGLASS,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA220XN,FIBERGLASS,DOUGLAS FIR,GRANITE,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA230XR,FIBERGLASS,DOUGLAS FIR,RAINGLASS,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA230XC,FIBERGLASS,DOUGLAS FIR,CHORD,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA230XJ,FIBERGLASS,DOUGLAS FIR,CHINCHILLA,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
CCA230XN,FIBERGLASS,DOUGLAS FIR,GRANITE,0,0,0,0,0,1,0,,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0
